Customer ID,Loan Sanction Amount (USD)
C-26247,87836.484
C-35067,64978.53
C-34590,358.0485
C-16668,69615.87
C-12196,49959.98
C-2600,-6.3226743
C-9047,96779.54
C-2206,74926.695
C-25607,78.72961
C-11606,16947.068
C-3624,58679.562
C-43027,146.19829
C-15190,84862.79
C-25816,16499.248
C-26370,41735.547
C-1281,206776.38
C-29433,4845.347
C-36256,61290.867
C-34217,24841.113
C-39950,66408.08
C-6756,22564.943
C-26652,51659.92
C-3991,65939.75
C-40312,38484.758
C-24580,161848.39
C-4949,571.20404
C-18783,74876.266
C-39205,56996.723
C-23784,101.55046
C-39508,105159.57
C-19062,114244.44
C-48140,46816.918
C-11314,70104.88
C-766,69948.75
C-39319,7349.383
C-15299,52957.23
C-10298,26926.334
C-25573,59402.832
C-18750,24378.443
C-19298,29617.355
C-11497,58364.09
C-42250,21643.67
C-17501,46989.1
C-24290,47341.883
C-8590,106305.83
C-8038,68764.27
C-25261,-16.703825
C-32634,12560.405
C-15073,42265.418
C-44174,20198.404
C-31916,64799.97
C-30620,21509.645
C-12561,-114.092514
C-40301,103539.98
C-14716,18863.002
C-27558,36846.543
C-32563,42984.953
C-31387,22828.674
C-45649,561.14484
C-22572,29295.783
C-48427,65737.375
C-24904,73136.5
C-27683,14073.423
C-43495,52538.434
C-25735,31857.52
C-21375,80339.086
C-41309,70818.734
C-7767,27577.48
C-11841,201.39494
C-5763,94094.984
C-8389,40782.445
C-16692,42970.996
C-33430,113644.29
C-2953,178081.88
C-11912,22093.45
C-6072,52999.156
C-6321,11115.887
C-26772,58960.34
C-24747,53281.9
C-20883,163841.56
C-11751,52388.418
C-24776,80164.04
C-20642,22981.635
C-9613,23.723858
C-45334,677.9992
C-37941,57921.8
C-2908,34204.535
C-13784,18583.842
C-26710,51415.29
C-1892,65946.94
C-49928,119672.67
C-23082,88892.664
C-27939,45845.047
C-41801,151.9378
C-19700,9905.017
C-43113,39132.402
C-27336,95359.945
C-36772,36098.844
C-3197,10482.528
C-14674,83022.664
C-5092,20768.906
C-41664,842.2423
C-85,31064.217
C-48382,50753.01
C-35744,88750.836
C-32776,64.559814
C-49131,369.05627
C-29703,30481.195
C-14880,34668.594
C-36170,-227.40414
C-41645,-347.03662
C-4784,44490.61
C-38418,62129.81
C-13222,63882.11
C-32852,24392.918
C-21795,26423.75
C-121,39855.32
C-39952,35686.46
C-45166,387.79742
C-32641,53504.945
C-27678,19360.35
C-10704,-462.55557
C-33461,22504.242
C-22001,100842.78
C-30170,63255.85
C-23960,66629.42
C-16139,20296.773
C-27022,11640.698
C-19074,24532.996
C-49284,243.93831
C-8598,49215.008
C-14962,28832.348
C-35254,104.93089
C-30635,45.310253
C-6981,15802.483
C-5924,27519.016
C-9590,37755
C-23842,65260.066
C-45972,1255.1859
C-39623,71811.25
C-49153,121.17086
C-34958,74627.41
C-36476,58955.703
C-28630,105.76741
C-12012,70591.52
C-37986,80400.64
C-11513,64172.938
C-48999,81978.31
C-7194,54195.78
C-14162,60113.523
C-6137,10713.18
C-7348,114.5099
C-25756,66.13168
C-40915,71524.52
C-28646,24580.77
C-31130,41058.86
C-8532,13135.713
C-24097,32246.773
C-1855,25016.686
C-35375,40896.91
C-3997,157127.95
C-42188,49486.22
C-33694,9197.632
C-1613,28517.156
C-9405,72407.2
C-5964,28617.549
C-20231,24549.598
C-23969,13883.01
C-36011,793.2641
C-23079,62079.453
C-44925,235.49887
C-9000,80190.09
C-49513,533.6409
C-49824,-630.2243
C-17542,79595.56
C-39446,45365.758
C-24862,27443.979
C-30025,32687.922
C-20039,26061.404
C-34113,96019.914
C-19871,52379.895
C-7017,21956.648
C-16017,70414.78
C-1475,73894.78
C-35040,64883.367
C-37318,18822.365
C-4757,64852.85
C-26696,48725.086
C-2450,94489.32
C-38702,32683.023
C-31969,42165.85
C-34069,29129.441
C-23160,27474.195
C-30804,5.3899937
C-49195,61194.773
C-13029,54489.37
C-39590,65.23562
C-45950,285.78174
C-1907,177082.66
C-9729,27035.236
C-24353,45478.332
C-3768,109324.32
C-48652,200422.11
C-14858,11395.704
C-32326,17512.518
C-35385,6.6111045
C-45900,77010.66
C-5823,38558.05
C-29879,36037.973
C-2015,48651.47
C-19823,53478.02
C-19528,52335.86
C-40682,66979.71
C-49354,33.49302
C-25744,101995.09
C-14328,60661.43
C-2727,83813.164
C-45497,18529.732
C-17894,182449.53
C-10903,23829.168
C-39413,69136.9
C-4926,30367.434
C-29376,59.04319
C-7440,36924.742
C-38279,33814.47
C-43246,51780.73
C-33701,110.93715
C-1603,113752.08
C-21756,49.609272
C-20553,66.28635
C-40318,90.66476
C-23274,36084.777
C-3521,161.63759
C-19742,32637.607
C-42176,-33.25123
C-33938,107254.49
C-20363,98349.62
C-1614,100760.92
C-22568,51.258167
C-24796,38436.523
C-25092,57474.305
C-40256,31511.402
C-27504,51091.7
C-25753,68435.086
C-27194,44779.004
C-17798,67.28866
C-11864,32662.969
C-722,21299.748
C-8111,143448.89
C-25051,103.446976
C-42216,47679.555
C-20767,-19.10091
C-22334,57367.12
C-23551,43775.934
C-48437,727.4984
C-21452,45724.805
C-16307,38193.836
C-29324,36570.58
C-4513,80.044685
C-32774,22452.354
C-15695,24373.844
C-48811,106047.06
C-24101,72448.29
C-17567,36525.848
C-3203,41281.5
C-27870,61311.88
C-34250,-83.5644
C-6052,43587.91
C-33730,79276.73
C-33735,47174.543
C-41784,164.70454
C-36379,47174.36
C-37051,55945.465
C-45284,14941.063
C-22611,21854.504
C-15220,17953.418
C-46916,24715.285
C-16477,-310.73007
C-32921,57762.81
C-10743,60738.95
C-25717,13343.677
C-38804,52819.52
C-47665,105886.73
C-47745,34764.336
C-8340,126152.695
C-35857,5733.465
C-13835,54223.426
C-8181,109348.45
C-7606,17366.21
C-28889,83996.805
C-19884,21317.771
C-26792,29.573097
C-29963,68716.61
C-23208,10884.22
C-26232,113013.85
C-38972,14.223707
C-28626,103515.67
C-3278,21483.547
C-9079,25883.176
C-18569,31323.232
C-43756,376.76486
C-17687,51503.055
C-5824,94256.86
C-6145,20800.639
C-5160,28729.059
C-13520,34479.117
C-2648,24054.734
C-9345,178294.05
C-46369,181864.9
C-34024,29711.506
C-37594,24032.822
C-16600,52780.74
C-12689,80780.664
C-31285,265.2996
C-20977,69340.45
C-8645,71791.234
C-28949,63865.035
C-42339,37.075726
C-18516,87566.65
C-26843,18826.139
C-37352,48790.34
C-9621,31538.762
C-40583,34571.984
C-44959,48560.93
C-10087,55434.836
C-31261,131894.16
C-2632,59076.945
C-35797,88731.99
C-9943,30027.037
C-48614,-217.53166
C-38577,31942.58
C-9012,16408.797
C-22068,27128.912
C-34390,10307.173
C-17445,21121.018
C-42960,22977.209
C-29172,23707.357
C-8067,15487.012
C-19101,82.788635
C-16365,164.38591
C-46578,106792.805
C-7726,44487.01
C-11802,71673.305
C-26157,13.496429
C-12804,12939.321
C-13829,24654.766
C-16434,53327.098
C-27426,108216.41
C-40208,102751.914
C-35800,25421.627
C-14093,127.91903
C-11648,141037.98
C-44330,45473.184
C-3517,63748.027
C-21658,65688.336
C-6711,32886.293
C-16178,6862.933
C-19315,42941.125
C-12505,13.40316
C-39404,66120.37
C-23783,-93.53243
C-40002,41806.02
C-30526,25592.738
C-8034,44961.062
C-33801,84499.48
C-44646,76.13812
C-32172,22537.416
C-15887,58.774765
C-391,141.32162
C-35271,106393.1
C-45419,23552.186
C-26170,60.293392
C-41141,64756.73
C-19608,22386.451
C-12816,34141.246
C-2852,1006.9475
C-23982,45124.996
C-27035,45784.414
C-19243,34378.348
C-33098,26891.62
C-18918,68436.195
C-38094,2661.738
C-39100,60465.195
C-10477,15643.485
C-41693,814.0097
C-25244,68737.13
C-30176,171272.52
C-43024,11752.374
C-17663,33967.707
C-18116,56562.6
C-12113,73893.5
C-47954,464.2629
C-5056,148729.5
C-13678,35.937115
C-11014,25520.93
C-38944,13157.834
C-6241,-803.0447
C-3386,21922.691
C-44010,8745.984
C-38450,50429.254
C-5233,45102.69
C-29556,18119.719
C-8420,118411.63
C-15978,21084.758
C-34580,25297.47
C-31624,552.38416
C-26269,23558.283
C-22174,16326.517
C-39257,93426.74
C-461,7046.891
C-19987,20956.082
C-22313,61723.273
C-36169,42911.703
C-27644,26100.162
C-2735,28.400272
C-15015,27216.725
C-37397,33656.566
C-45699,-35.83963
C-20783,58960.133
C-17847,14676.192
C-38305,11011.524
C-6907,9.764418
C-7342,111475.27
C-7045,65.16543
C-13221,72444.375
C-34726,29820.453
C-35426,65082.703
C-43748,61779.85
C-2888,29752.254
C-32967,22397.805
C-30265,102468.02
C-13304,115932.734
C-17380,59455.824
C-1417,48486.62
C-21679,39290.492
C-31369,139864.33
C-18618,78.06138
C-15173,32166.617
C-25409,91930.51
C-22695,85855.5
C-7870,110563.24
C-35059,111556.12
C-19262,72467.54
C-10179,273.19986
C-10978,-13.631869
C-45858,36399.85
C-8194,24494.34
C-9392,57464.965
C-49795,31.40586
C-23829,24705.63
C-28834,9607.917
C-45277,49857.332
C-11440,15829.013
C-10158,44518.734
C-46131,159.87033
C-27846,39482.055
C-12099,33250.23
C-7556,27057.146
C-36717,70694.52
C-6230,33240.258
C-26450,86328.164
C-42638,28298.287
C-40852,86923.53
C-48264,175.40573
C-25725,45965.938
C-1251,22714.916
C-38116,63225.605
C-33330,59306.57
C-28034,35389.887
C-15275,54628.742
C-18947,77491.47
C-45711,24199.326
C-39206,80985.18
C-2536,23705.371
C-45427,102476.27
C-34637,84.278435
C-8357,12026.157
C-15199,77314.88
C-42345,37810.81
C-15973,49783.098
C-778,38.191624
C-18961,15434.443
C-31944,72204.98
C-49215,23217.295
C-15736,23152.836
C-39719,47683.94
C-21669,84147
C-12666,107272.516
C-108,61950.965
C-28294,46906.25
C-931,54146.137
C-46269,74123.42
C-21864,50806.83
C-40951,13502.175
C-17344,49268.695
C-30471,15302.041
C-6151,16.439812
C-49031,339.66977
C-21146,31.161325
C-9283,13268.412
C-38375,7330.669
C-37722,87855.44
C-39145,94231.71
C-7771,123646.27
C-14611,58237.508
C-3433,52789.07
C-47000,191452.44
C-38783,86574.33
C-25384,47723.844
C-27444,85119.09
C-20567,60018.402
C-19163,123978.23
C-7784,26842.008
C-42195,944.7981
C-15641,60412.906
C-45148,52788.54
C-49786,76055.336
C-43483,95402.03
C-31900,31122.41
C-7955,19275.469
C-49917,375.101
C-20928,113588.64
C-32586,86759.414
C-8832,19732.607
C-37974,38711.457
C-11184,106475.52
C-27932,17551.455
C-22581,42541.715
C-17470,68235.18
C-35562,63.676693
C-21391,26360.9
C-2036,75957.33
C-487,23505.377
C-49534,-509.796
C-27793,87313.32
C-47718,18178.125
C-28840,-1.1677134
C-36903,170546.11
C-12478,19668.926
C-5497,34925.145
C-19291,23024.79
C-37414,-672.7799
C-27189,51948.29
C-23974,75.959305
C-37756,103.65459
C-6994,18061.035
C-26676,11601.825
C-18336,19534.922
C-39249,38346.953
C-46594,78954.484
C-46668,41719.02
C-31182,12948.1
C-33649,80.39841
C-795,24409.111
C-41864,14528.681
C-27099,182045.44
C-13217,7442.3228
C-27941,34232.547
C-26999,53347.508
C-19798,61432.285
C-872,12896.958
C-42696,955.01373
C-4207,38822.758
C-5977,35427.05
C-37417,82367.68
C-27520,99522.836
C-28968,41861.22
C-7218,76148.06
C-9926,123901.75
C-6283,13502.238
C-28564,198749.02
C-7458,44477.766
C-23936,57357.086
C-15056,40051.17
C-48332,-300.7096
C-5285,56849.62
C-22261,13142.756
C-6649,63596.195
C-39775,80169.555
C-16672,-379.29675
C-22949,39771.43
C-33264,550.04156
C-18411,19940.154
C-2981,20604.834
C-25486,27449.541
C-20743,56160.234
C-43852,102639.11
C-33935,139.34773
C-12280,216803.8
C-7324,-15.516972
C-10229,53237.637
C-29096,77060.9
C-7146,37358.234
C-48092,11.407114
C-7802,9535.16
C-41995,51045.09
C-24558,68.92089
C-41069,40794.53
C-49771,12821.607
C-14429,27120.8
C-36459,36182.86
C-595,10520.555
C-37861,26730.053
C-5702,25695.152
C-48665,651.4575
C-44788,235.93321
C-41968,499.41833
C-28021,23318.955
C-49046,85070.88
C-48198,1025.393
C-2224,39023.812
C-29812,68.9419
C-28119,19780.613
C-33458,22049.92
C-31298,34604.33
C-42213,-330.07428
C-45134,-106.41584
C-18790,53726.05
C-8651,31840.871
C-34551,96508.9
C-46838,931.7788
C-45834,848.5174
C-23656,42559.863
C-35479,50947.285
C-9171,99261.92
C-32795,146465.5
C-39761,20449.174
C-6842,18497.936
C-1477,142479.47
C-29391,9733.24
C-36372,51933.332
C-3050,-87.89739
C-24135,-5.690602
C-17657,113583.555
C-22379,65548.836
C-48251,53624.81
C-47996,61.272957
C-46600,73.108444
C-24183,105.45344
C-39134,121437.164
C-3569,59975.71
C-44734,16.297493
C-26917,42451.402
C-43369,181322.61
C-16973,62125.05
C-10007,15.081571
C-45821,266.9128
C-22286,33194.23
C-26486,41754.098
C-4785,84879.11
C-41874,326.28696
C-40217,158345.1
C-21423,63132.56
C-42449,86.32325
C-34243,97595.79
C-3917,88485.02
C-33066,75917.31
C-2723,13495.032
C-8412,83558.3
C-9722,15998.715
C-38320,36243.293
C-29676,18720.275
C-27298,45708.766
C-31654,19343.158
C-13695,16471.455
C-25086,9.457771
C-44465,-324.479
C-21654,72100.84
C-41060,72183.43
C-49595,-1245.1339
C-6280,92650.484
C-14434,12835.471
C-35331,41271.906
C-22482,54590.227
C-39569,42597.44
C-7791,66454.62
C-41802,194144.14
C-39667,29988.846
C-12376,55993.47
C-40906,87881.05
C-38890,20053.707
C-37476,68738.41
C-44946,931.5345
C-44451,17440.531
C-37113,167554.53
C-29497,21340.816
C-19756,66.48074
C-10272,19019.807
C-32834,121179.93
C-23725,56644.395
C-10753,32.480278
C-17104,-0.94796884
C-19153,41800.234
C-17340,15551.526
C-43187,755.58923
C-49532,11.788406
C-9014,43681.1
C-19519,56641.676
C-46047,-1273.2234
C-32269,19611.867
C-808,17807.922
C-25924,30837.326
C-39832,51742.64
C-9670,70360.94
C-44243,41225.13
C-32273,6113.0825
C-38474,92149.38
C-3098,137975.1
C-1113,98958.32
C-48460,42151.06
C-14158,10.582483
C-16411,147383.25
C-26187,123911.14
C-47185,45702.04
C-5417,55304.42
C-43392,11192.777
C-13685,216063.5
C-18903,30439.014
C-44156,434.01392
C-28524,15738.4795
C-5184,44111.56
C-45033,50379.33
C-45354,90077.055
C-41123,36589.656
C-14213,7.7523637
C-6888,36394.79
C-14104,68.21723
C-2495,25723.314
C-17057,79360.47
C-5005,50010.355
C-41297,46703.4
C-42963,99.2443
C-23251,18311.023
C-23970,14034.62
C-40714,149016.47
C-38859,85564.03
C-7112,67926.89
C-18928,36342.41
C-29862,90644.05
C-30212,41930.254
C-15021,57253.125
C-7476,48801.215
C-41600,222.23497
C-32173,42695.863
C-38518,27878.205
C-38801,56164.1
C-1784,101037.57
C-24927,131294.5
C-39547,49944.594
C-43215,63069.996
C-23422,66.36448
C-37723,46165.15
C-29178,97515.164
C-19008,95495.2
C-5849,94861.46
C-6004,45120.59
C-23104,23364.889
C-24882,65757.375
C-43468,8979.09
C-35132,72615.74
C-42580,39327.49
C-11578,26563.9
C-8678,13998.451
C-19927,598.6118
C-30508,31169.648
C-44874,38042.74
C-30186,-131.90836
C-10760,14893.881
C-26481,78274.62
C-46111,240.61594
C-32145,98927.56
C-32092,184.43956
C-5752,92429.57
C-16382,74929.48
C-28591,117143.43
C-44846,580.51495
C-2932,52836.137
C-36463,131290.97
C-27695,35621.78
C-40748,80460.96
C-29783,127129.086
C-49739,10653.943
C-14812,55188.68
C-17082,38939.223
C-7455,78947.266
C-19358,24270.701
C-19549,33774.188
C-2666,42383.94
C-18984,67277.99
C-13649,16074.977
C-33798,12939.132
C-10307,86592.43
C-35501,164.87321
C-8935,69672.84
C-26153,18232.533
C-4606,64816.723
C-18360,99.22464
C-39333,31243.309
C-12426,99620.02
C-6408,82101.97
C-28868,15732.051
C-42593,147.76527
C-31808,61858.375
C-32004,50187.504
C-32204,43801.48
C-12801,84287.586
C-25815,62357.473
C-22768,50661.867
C-32048,55817.445
C-19658,16665.205
C-26891,7460.254
C-40188,13.952002
C-25433,24163.295
C-10378,74472.03
C-31318,153310.38
C-15344,-29.31638
C-22888,-3.2016315
C-43034,45.13502
C-19211,56062.223
C-10432,122.79551
C-22014,14860.738
C-18211,-1316.5955
C-23968,139.51974
C-48530,59103.867
C-28054,1.4081749
C-2058,19661.465
C-34942,87247.305
C-530,51248
C-38117,10284.887
C-20913,27634.479
C-47070,1153.5853
C-26019,38196.42
C-28532,53237.08
C-46716,60804.957
C-39327,49423.16
C-7240,28718.059
C-37949,179715.69
C-2195,148597.55
C-3355,83831.29
C-19733,64313.33
C-34255,75803.08
C-49287,93.19317
C-32256,101339.5
C-22180,38070.125
C-5193,44548.938
C-38427,137594.81
C-44886,-1235.2963
C-3791,44351.242
C-32566,64581.938
C-15243,50035.637
C-5240,38889.105
C-49218,59885.312
C-25534,-5.4386325
C-47239,229.75436
C-8774,22.542252
C-16520,97204.74
C-20311,87083.52
C-3650,80.13376
C-18558,25348.12
C-14820,129122.01
C-34556,137126.2
C-43883,132425.8
C-40653,31973.668
C-47621,35841.96
C-49147,68110.73
C-440,148721.58
C-11354,23212.314
C-15107,56430.438
C-24501,52411.55
C-28551,27670.918
C-28773,30429.914
C-36617,147492.97
C-28244,9.870043
C-41307,117286.62
C-832,50313.062
C-8287,40.606777
C-41225,94859.8
C-13965,49153.32
C-6491,48484.676
C-10751,41747.977
C-27955,20772.62
C-29401,24391.094
C-40588,27395.05
C-41993,-25.593431
C-37136,136686.81
C-41702,48763.56
C-37634,38292.168
C-7102,7358.928
C-32351,18382
C-17461,64386.758
C-2675,19899.326
C-34452,116170
C-35202,42959.355
C-35085,153969.67
C-25301,37505.2
C-18247,56.405346
C-26468,31992.363
C-39744,83932.266
C-39530,25359.605
C-15276,27493.82
C-27599,99859.89
C-16294,117791.13
C-45920,1824.9418
C-42972,67359.34
C-35739,78.296875
C-48070,99.558586
C-20738,69318.5
C-20164,-88.90684
C-35798,86178.35
C-36931,46304.324
C-40067,70510.23
C-7033,10245.133
C-2919,60283.67
C-92,154.95613
C-10068,88081.84
C-30148,124782.7
C-6804,16698.3
C-41739,120495.07
C-26448,11299.425
C-5100,40942.316
C-6401,76272.53
C-14665,48648.91
C-3315,25964.186
C-20983,38537.617
C-32947,-16.31433
C-13518,52975.17
C-46708,610.52057
C-6592,158349.52
C-12364,22992.324
C-46390,61.295902
C-7318,30595.47
C-12943,25988.324
C-2883,44832.86
C-25283,24276.523
C-1618,26.312016
C-1271,9697.461
C-40127,63693.69
C-36317,23910.836
C-48952,58031.14
C-29240,81453.19
C-25093,78.444664
C-12384,48329.305
C-34319,35039.926
C-47779,949.2548
C-12945,64233.45
C-36060,22.080513
C-5616,296.3518
C-41883,1082.1592
C-9039,52958.754
C-25362,93350.08
C-13744,69247.75
C-25047,156008.05
C-13036,104090.43
C-36276,20310.002
C-2811,79.83158
C-21717,126342.52
C-46988,100.7039
C-48564,121.66791
C-24260,49903.285
C-39925,10300.512
C-16917,111995.51
C-27996,12983.914
C-37659,39206.01
C-15746,116630.05
C-46465,158.65215
C-40197,50823.574
C-39307,123864.74
C-23902,51106.652
C-19873,15221.209
C-47956,63656.625
C-13273,-7.1720123
C-48337,95177.18
C-19271,564.40857
C-37094,81587.07
C-684,60186.496
C-24481,35662.72
C-12590,94385.24
C-25151,44443.637
C-17381,65753.15
C-38274,39853.336
C-1011,53132.92
C-1000,116450.26
C-20171,24136.271
C-17936,141517.12
C-44657,51.482788
C-41222,80909.41
C-42705,42125.543
C-36949,112773.266
C-17725,43710.742
C-41035,30.135223
C-2207,18608.479
C-11404,45593.62
C-1537,6979.9346
C-49111,108413.97
C-39701,65618.98
C-14555,11253.836
C-23018,40931.082
C-26076,53205.02
C-1292,68542.59
C-33809,22093.908
C-34753,9053.199
C-30028,74687.02
C-33662,45587.01
C-11938,54159.633
C-15030,107549.04
C-25693,136901.52
C-39706,38821.08
C-49830,592.88104
C-1215,42540.562
C-22515,10413.374
C-34267,64497.79
C-31199,25705.725
C-46236,12498.21
C-16259,26704.93
C-2730,44630.977
C-17938,56269.582
C-41242,51086.35
C-378,43417.07
C-15648,-204.52307
C-48043,100703.7
C-3027,124311.72
C-43249,24751.242
C-26632,20.976753
C-16859,61706.375
C-23573,117428.18
C-21886,15.593065
C-31479,53846.207
C-37999,232.02234
C-45817,75392.305
C-19011,26824.992
C-36365,24461.234
C-7416,43383.23
C-677,20177.588
C-10599,17390.096
C-1103,23875.793
C-44906,-191.48367
C-16804,40600.027
C-38012,33730.86
C-13987,193093.42
C-19544,69004.42
C-3349,-52.66465
C-38961,41167.777
C-38259,18295.07
C-3666,21749.639
C-36638,52181.574
C-18230,188395.88
C-11076,43596.027
C-31226,40960.582
C-9312,30033.084
C-10276,104563.96
C-44905,92.587105
C-33369,500.30713
C-34166,38464.305
C-45310,83198.61
C-30527,113122.74
C-4627,14853.635
C-38353,142034.69
C-4974,87636.63
C-32095,81.27538
C-13549,13136.005
C-43862,301.255
C-6688,78602.83
C-5382,44786.89
C-36550,65596.875
C-721,53387.06
C-1325,123763.16
C-21418,111279.83
C-33431,22530.428
C-25465,67.12914
C-6769,35840.47
C-35667,56971.855
C-22630,21262.854
C-1353,49493.625
C-15765,39638.633
C-47348,415.1301
C-26798,269.472
C-1575,126400.64
C-26100,53.11307
C-41279,22970.521
C-43388,-245.1656
C-11917,109956.266
C-6243,43296.094
C-1218,49523.902
C-20692,96.8958
C-37907,46039.82
C-20591,115316.33
C-34997,22404.352
C-28405,34914.75
C-45810,13532.977
C-10134,-3.3605106
C-9407,24674.957
C-19191,55601.418
C-15367,18340.152
C-44513,69293.74
C-34160,26099.475
C-1599,40143.688
C-31067,50747.008
C-25519,37882.086
C-19761,35782.973
C-1661,93280.44
C-2525,41322.113
C-25450,21897.586
C-34833,24620.967
C-8560,54.513767
C-20590,15980.418
C-9890,88897.71
C-3415,8347.431
C-7271,31006.553
C-948,22209.365
C-2910,93545.53
C-16054,56433.473
C-21243,8055.686
C-22407,145375.31
C-46383,-1380.595
C-48914,-927.8209
C-16529,9.424906
C-24655,82.1917
C-1926,98006.62
C-32783,61913.195
C-30296,23568.02
C-23621,77744.03
C-35554,1076.0765
C-46261,36132.69
C-34107,31696.723
C-42655,-74.69275
C-39873,45862.633
C-17191,67.29493
C-23048,65839.86
C-33498,29058.037
C-906,29166.826
C-7234,24022.8
C-18364,31781.912
C-4434,74468.08
C-23245,78799.54
C-17033,97467.57
C-2814,74690.94
C-39554,59766.844
C-24123,31274.45
C-7293,12.873517
C-41615,13350.599
C-4869,32547.668
C-2885,38962.86
C-18098,102384.22
C-8981,89513.34
C-15668,33.475952
C-2158,89934.95
C-47085,16231.548
C-29563,8576.04
C-6396,13193.481
C-27245,34008.227
C-9571,10714.498
C-13085,43946.305
C-32744,18238.607
C-49207,-6.323114
C-2573,124476.3
C-42732,-438.3146
C-32858,16743.938
C-14529,15793.944
C-7709,41220.07
C-24245,210811.62
C-28155,87828.22
C-9237,75990.16
C-20896,75.964806
C-29529,45669.758
C-49272,9534.935
C-3094,97343.19
C-4211,24233.924
C-40530,59483.027
C-26341,71526.945
C-42206,78274.805
C-31908,64213.355
C-40632,-358.8365
C-14432,62415.21
C-1169,12532.3
C-29803,50608.902
C-8662,176133.42
C-11102,43766.715
C-30954,26155.137
C-48216,1657.7296
C-34932,25523.7
C-16705,109.99048
C-20735,26870.49
C-10662,18234.76
C-6235,112215.52
C-20782,55996.836
C-44827,148815.16
C-33580,96222.53
C-4046,28414.773
C-15992,77615.6
C-12605,92516.38
C-23469,76.23346
C-16923,26700.996
C-41969,28760.32
C-5294,43956.312
C-27875,48837.42
C-1197,57508.016
C-49768,520.7809
C-2251,554.7142
C-33006,20479.82
C-26789,24392.615
C-30239,-756.4795
C-26818,95355.38
C-1901,10.390815
C-23518,31011.514
C-7565,100375.2
C-27349,14740.915
C-11188,109692.555
C-8581,137655.56
C-25313,94312.7
C-14905,24751.81
C-34147,64.65671
C-19991,35528.535
C-44,59306.434
C-37087,103388.2
C-22924,30401.65
C-33444,25460.402
C-3520,132286.27
C-34874,20380.725
C-24759,129118.35
C-5163,33868.887
C-24438,25240.176
C-39224,34641.97
C-2862,43077.203
C-9322,86717.58
C-14479,8646.31
C-22571,12841.966
C-33363,15405.571
C-42425,99.79412
C-12100,38247.77
